title,cwe,description,cvss_v4,cvss_v4_score,cvss_v4_severity,finding,kind,where,snippet,method
078. Insecurely generated token,CWE-1270,Es posible descifrar el hash del token y obtener la información que oculta porque no se genera utilizando un mecanismo criptográfico seguro en wackopicko/website/include/admins.php,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N/E:U,1.7,Low,https://db.fluidattacks.com/wek/078,SAST,66,"
  57 |    function login_admin($adminid)
  58 |    {
  59 |       // Don't trust the php session, we're using our own
  60 |       $query = sprintf(""INSERT into `admin_session` (`id`, `admin_id`, `created_on`) VALUES (NULL, '%s', NOW());"",
  61 |          mysql_real_escape_string($adminid));
  62 |       if ($res = mysql_query($query))
  63 |       {
  64 |   // add the cookie
  65 |   $id = mysql_insert_id();
> 66 |   setcookie(""session"", $id);
  67 |   return mysql_insert_id();
  68 |       }
  69 |       else
  70 |       {
  71 |   return False;
  72 |       }
  73 |    }
     ^ Col 0
",php.mysql.f078.predictable_session_cookie
239. Technical information leak - Errors,CWE-209,"Se permite la visualización de mensajes de error, lo que puede revelar información técnica en wackopicko/website/guestbook.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,1.3,Low,https://db.fluidattacks.com/wek/239,SAST,17,"
   7 | {
   8 |    if ($_POST['name'] == """" || $_POST['comment'] == """")
   9 |    {
  10 |       $flash['error'] = ""Must include both the name and comment field!"";
  11 |    }
  12 |    else
  13 |    {
  14 |       $res = Guestbook::add_guestbook($_POST[""name""], $_POST[""comment""], False);
  15 |       if (!$res)
  16 |       {
> 17 |   die(mysql_error());
  18 |       }
  19 |    }
  20 | }
  21 |
  22 | $guestbook = Guestbook::get_all_guestbooks();
  23 | ?>
  24 |
  25 | <?php our_header(""guestbook""); ?>
  26 |
  27 | <div class=""column prepend-1 span-24 first last"">
     ^ Col 0
",php.general.f239.error_message_disclosure
239. Technical information leak - Errors,CWE-209,"Se permite la visualización de mensajes de error, lo que puede revelar información técnica en wackopicko/website/include/pictures.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,1.3,Low,https://db.fluidattacks.com/wek/239,SAST,57,"
  51 |    function get_some_pictures_by_tag($tag, $not_this, $limit)
  52 |    {
  53 |       $query = sprintf(""SELECT pictures.filename, pictures.id, pictures.user_id, users.login from pictures, users where pictures.id != '%d' and pictures.tag like '%s' and pictures.user_id = users.id order by RAND() limit %d;"",
  54 |          mysql_real_escape_string($not_this),
  55 |          mysql_real_escape_string($tag),
  56 |          mysql_real_escape_string($limit));
> 57 |       $res = mysql_query($query) or die(mysql_error());
  58 |       if ($res)
  59 |       {
  60 |   while ($row = mysql_fetch_assoc($res))
  61 |   {
  62 |      $to_ret[] = $row;
  63 |   }
  64 |   return $to_ret;
  65 |       }
  66 |       else
  67 |       {
  68 |   return False;
  69 |       }
  70 |    }
     ^ Col 0
",php.general.f239.error_message_disclosure
239. Technical information leak - Errors,CWE-209,"Se permite la visualización de mensajes de error, lo que puede revelar información técnica en wackopicko/website/include/users.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,1.3,Low,https://db.fluidattacks.com/wek/239,SAST,108,"
   85 |    function check_login($username, $pass, $vuln = False)
   86 |    {
   87 |       if ($vuln)
   88 |       {
   89 |   $query = sprintf(""SELECT * from `users` where `login` like '%s' and `password` = SHA1( CONCAT('%s', `salt`)) limit 1;"",
   90 |                     $username,
   91 |                     mysql_real_escape_string($pass));
   92 |       }
   93 |       else
   94 |       {
   95 |   $query = sprintf(""SELECT * from `users` where `login` like '%s' and `password` = SHA1( CONCAT('%s', `salt`)) limit 1;"",
   96 |                     mysql_real_escape_string($username),
   97 |                     mysql_real_escape_string($pass));
   98 |       }
   99 |       $res = mysql_query($query);
  100 |       if ($res)
  101 |       {
  102 |   return mysql_fetch_assoc($res);
  103 |       }
  104 |       else
  105 |       {
  106 |   if ($vuln)
  107 |   {
> 108 |      die(mysql_error());
  109 |   }
  110 |   else
  111 |   {
  112 |      return False;
  113 |   }
  114 |       }
  115 |    }
      ^ Col 0
",php.general.f239.error_message_disclosure
239. Technical information leak - Errors,CWE-209,"Se permite la visualización de mensajes de error, lo que puede revelar información técnica en wackopicko/website/include/users.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,1.3,Low,https://db.fluidattacks.com/wek/239,SAST,143,"
  117 |    function similar_login($login, $vuln = False)
  118 |    {
  119 |       if ($vuln)
  120 |       {
  121 |   $query = ""SELECT * from `users` where `firstname` like '%{$login}%' and firstname != '{$login}'"";
  122 |       }
  123 |       else
  124 |       {
  125 |   $query = sprintf(""SELECT * from `users` where `firstname` like '%%%s%%' and firstname != '%s'"",
  126 |      mysql_real_escape_string($login),
  127 |      mysql_real_escape_string($login));
  128 |       }
  129 |       $res = mysql_query($query);
  130 |       if ($res)
  131 |       {
  132 |   while ($row = mysql_fetch_assoc($res))
  133 |   {
  134 |      $to_ret[] = $row;
  135 |   }
  136 |   return $to_ret;
  137 |
  138 |       }
  139 |       else
  140 |       {
  141 |   if ($vuln)
  142 |   {
> 143 |      die(mysql_error());
  144 |   }
  145 |   return False;
  146 |       }
  147 |
  148 |
  149 |    }
      ^ Col 0
",php.general.f239.error_message_disclosure
239. Technical information leak - Errors,CWE-209,"Se permite la visualización de mensajes de error, lo que puede revelar información técnica en wackopicko/website/include/users.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,1.3,Low,https://db.fluidattacks.com/wek/239,SAST,61,"
  30 |    function create_user($username, $pass, $firstname, $lastname, $vuln = False)
  31 |    {
  32 |       $salt = mt_rand(0, 900);
  33 |       $salt = base64_encode($salt);
  34 |       $initial_bux = 100;
  35 |       if ($vuln)
  36 |       {
  37 |   $pass = mysql_real_escape_string($pass);
  38 |   $firstname = mysql_real_escape_string($firstname);
  39 |   $pass = $pass . $salt;
  40 |   $query = ""INSERT INTO `users` (`id`, `login`, `password`, `firstname`, `lastname`, `salt`, `tradebux`, `created_on`, `last_login_on`) VALUES (NULL, '{$username}', SHA1('{$pass}'), '{$firstname}', '{$lastname}','{$salt}', '{$initial_bux}', NOW(), NOW());"";
  41 |       }
  42 |       else
  43 |       {
  44 |   $query = sprintf(""INSERT INTO `users` (`id`, `login`, `password`, `firstname`, `lastname`, `salt`, `tradebux`, `created_on`, `last_login_on`) VALUES (NULL, '%s', SHA1('%s'), '%s', '%s', '%s','%d', NOW(), NOW());"",
  45 |      mysql_real_escape_string($username),
  46 |      mysql_real_escape_string($pass . $salt),
  47 |      mysql_real_escape_string($firstname),
  48 |                    mysql_real_escape_string($lastname),
  49 |      mysql_real_escape_string($salt),
  50 |      mysql_real_escape_string($initial_bux));
  51 |
  52 |       }
  53 |       if ($res = mysql_query($query))
  54 |       {
  55 |   return mysql_insert_id();
  56 |       }
  57 |       else
  58 |       {
  59 |   if ($vuln)
  60 |   {
> 61 |      die(mysql_error());
  62 |   }
  63 |   else
  64 |   {
  65 |      return False;
  66 |   }
  67 |       }
  68 |
  69 |    }
     ^ Col 0
",php.general.f239.error_message_disclosure
063. Lack of data validation - Path Traversal,CWE-22,La aplicación contiene funcionalidad susceptible a path traversal en wackopicko/website/admin/index.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.7,Low,https://db.fluidattacks.com/wek/063,SAST,4,"
  1 | <?php
  2 |
  3 | $page = $_GET['page'] . '.php';
> 4 | require_once($page);
  5 |
  6 | ?>
    ^ Col 0
",php.general.f063.unsafe_file_inclusion
063. Lack of data validation - Path Traversal,CWE-22,La aplicación contiene funcionalidad susceptible a path traversal en wackopicko/website/pictures/upload.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.7,Low,https://db.fluidattacks.com/wek/063,SAST,27,"
  17 |    {
  18 |       $flash['error'] = ""Must include all fields"";
  19 |    }
  20 |    else
  21 |    {
  22 |       $_POST['name'] = str_replace("".."", """", $_POST['name']);
  23 |       $_POST['name'] = str_replace("" "", """", $_POST['name']);
  24 |       $_POST['name'] = str_replace(""/"", """", $_POST['name']);
  25 |       if (!file_exists(""../upload/{$_POST['tag']}/""))
  26 |       {
> 27 |   mkdir(""../upload/{$_POST['tag']}"", 0777, True);
  28 |       }
  29 |       $filename = ""../upload/{$_POST['tag']}/{$_POST['name']}"";
  30 |       $relfilename = ""{$_POST['tag']}/{$_POST['name']}"";
  31 |       if ($_POST['price'] < 0)
  32 |       {
  33 |   $_POST['price'] = abs($_POST['price']);
  34 |       }
  35 |       if (file_exists($filename))
  36 |       {
  37 |   $new_name = tempnam(""../upload"", $filename);
     ^ Col 0
",php.general.f063.unsafe_file_inclusion
063. Lack of data validation - Path Traversal,CWE-22,La aplicación contiene funcionalidad susceptible a path traversal en wackopicko/website/pictures/upload.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.7,Low,https://db.fluidattacks.com/wek/063,SAST,44,"
  34 |       }
  35 |       if (file_exists($filename))
  36 |       {
  37 |   $new_name = tempnam(""../upload"", $filename);
  38 |   move_uploaded_file($_FILES['pic']['tmp_name'], $new_name);
  39 |   $id = Pictures::add_conflict($filename, $new_name, $_POST['tag'], $_POST['title'], $_POST['price'], $user['id']);
  40 |   http_redirect(Pictures::$CONFLICT_URL . ""?conflictid={$id}"");
  41 |       }
  42 |       else
  43 |       {
> 44 |   if (move_uploaded_file($_FILES['pic']['tmp_name'], $filename))
  45 |   {
  46 |
  47 |      if ($id = Pictures::create_picture($_POST['title'], 128, 128, $_POST['tag'], $relfilename, $_POST['price'], $user['id']))
  48 |      {
  49 |         $main = "".550.jpg"";
  50 |         $side = "".128.jpg"";
  51 |         $thumb= "".128_128.jpg"";
  52 |         Pictures::resize_image($filename, $filename . $main, 550, 10000000);
  53 |         Pictures::resize_image($filename, $filename . $side, 128, 10000000);
  54 |         Pictures::resize_image($filename, $filename . $thumb, 128, 128);
     ^ Col 0
",php.general.f063.unsafe_file_inclusion
262. Insecure encryption algorithm - SHA1,CWE-328,El servidor donde se almacena la aplicación soporta cifrados inseguros - SHA1 en wackopicko/website/include/admins.php,CVSS:4.0/AV:A/AC:H/AT:N/PR:N/UI:P/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,0.5,Low,https://db.fluidattacks.com/wek/262,SAST,84,"
  79 |    function check_login($admin, $pass)
  80 |    {
  81 |       $query = sprintf(""SELECT * from `admin` where `login` like '%s' and `password` = SHA1( '%s' ) limit 1;"",
  82 |          mysql_real_escape_string($admin),
  83 |          mysql_real_escape_string($pass));
> 84 |       $res = mysql_query($query);
  85 |       if ($res)
  86 |       {
  87 |   return mysql_fetch_assoc($res);
  88 |       }
  89 |       else
  90 |       {
  91 |   return False;
  92 |       }
  93 |    }
     ^ Col 0
",php.mysql.f262.insecure_sha1_in_query
